2025-02-27 00:52:31,894 INFO    StreamThr :16467 [internal.py:wandb_internal():86] W&B internal server running at pid: 16467, started at: 2025-02-27 00:52:31.894376
2025-02-27 00:52:31,895 DEBUG   HandlerThread:16467 [handler.py:handle_request():146] handle_request: status
2025-02-27 00:52:31,898 INFO    WriterThread:16467 [datastore.py:open_for_write():87] open: /Users/cpconnor/CascadeProjects/multi-platform-content-generator/wandb/run-20250227_005231-qjlqrqb5/run-qjlqrqb5.wandb
2025-02-27 00:52:31,898 DEBUG   SenderThread:16467 [sender.py:send():379] send: header
2025-02-27 00:52:31,899 DEBUG   SenderThread:16467 [sender.py:send():379] send: run
2025-02-27 00:52:31,903 INFO    SenderThread:16467 [sender.py:_setup_resume():749] checking resume status for None/pete-connor-cx-ai-expert/qjlqrqb5
2025-02-27 00:52:31,951 DEBUG   HandlerThread:16467 [handler.py:handle_request():146] handle_request: poll_exit
2025-02-27 00:52:31,951 DEBUG   SenderThread:16467 [sender.py:send_request():406] send_request: poll_exit
2025-02-27 00:52:32,002 INFO    wandb-upload_0:16467 [upload_job.py:push():131] Uploaded file /Users/cpconnor/CascadeProjects/multi-platform-content-generator/wandb/run-20250227_005229-s5zk5ndx/files/requirements.txt
2025-02-27 00:52:32,002 INFO    wandb-upload_1:16467 [upload_job.py:push():131] Uploaded file /Users/cpconnor/CascadeProjects/multi-platform-content-generator/wandb/run-20250227_005229-s5zk5ndx/files/config.yaml
2025-02-27 00:52:32,163 INFO    wandb-upload_2:16467 [upload_job.py:push():131] Uploaded file /Users/cpconnor/CascadeProjects/multi-platform-content-generator/wandb/run-20250227_005229-s5zk5ndx/files/wandb-summary.json
2025-02-27 00:52:32,297 INFO    SenderThread:16467 [dir_watcher.py:__init__():211] watching files in: /Users/cpconnor/CascadeProjects/multi-platform-content-generator/wandb/run-20250227_005231-qjlqrqb5/files
2025-02-27 00:52:32,297 INFO    SenderThread:16467 [sender.py:_start_run_threads():1124] run started: qjlqrqb5 with start time 1740639151.894655
2025-02-27 00:52:32,302 DEBUG   HandlerThread:16467 [handler.py:handle_request():146] handle_request: check_version
2025-02-27 00:52:32,303 DEBUG   SenderThread:16467 [sender.py:send_request():406] send_request: check_version
2025-02-27 00:52:32,363 INFO    Thread-11 (_thread_body):16467 [sender.py:transition_state():614] send defer: 11
2025-02-27 00:52:32,363 DEBUG   HandlerThread:16467 [handler.py:handle_request():146] handle_request: defer
2025-02-27 00:52:32,363 INFO    HandlerThread:16467 [handler.py:handle_request_defer():172] handle defer: 11
2025-02-27 00:52:32,364 DEBUG   SenderThread:16467 [sender.py:send_request():406] send_request: defer
2025-02-27 00:52:32,364 INFO    SenderThread:16467 [sender.py:send_request_defer():610] handle sender defer: 11
2025-02-27 00:52:32,364 INFO    SenderThread:16467 [file_pusher.py:join():178] waiting for file pusher
2025-02-27 00:52:32,364 INFO    SenderThread:16467 [sender.py:transition_state():614] send defer: 12
2025-02-27 00:52:32,364 DEBUG   HandlerThread:16467 [handler.py:handle_request():146] handle_request: defer
2025-02-27 00:52:32,364 INFO    HandlerThread:16467 [handler.py:handle_request_defer():172] handle defer: 12
